Surname,#Awards,Education
Khan,10,"['University of Malaya', 'COMSATS University']"
Aalst,0,['Technische Universiteit Eindhoven']
Aaronson,4,"['Cornell University', 'University of California, Berkeley']"
Abebe,3,"['Cornell University', 'University of Cambridge', 'Harvard University']"
Abelson,1,"['Princeton University', 'Massachusetts Institute of Technology']"
Abiteboul,4,['University of Southern California']
Abramsky,4,"[""King's College, Cambridge"", 'Queen Mary University of London']"
Adleman,2,"['University of California, Berkeley']"
Agrawal,8,['Indian Institute of Technology Kanpur']
Ahn,3,"['Duke University', 'BS', 'Carnegie Mellon University']"
Aho,7,"['University of Toronto', 'Princeton University']"
Allen,6,"['University at Albany', 'University of Michigan']"
Amdahl,2,"['South Dakota State University', 'BS', 'University of Wisconsin', 'MS', 'PhD']"
Anderson,2,"['Wesleyan University', 'University of Wisconsin-Madison']"
Anthony,6,['Drexel University']
Appel,0,['Princeton University']
Aragon,1,"['California Institute of Technology', 'University of California, Berkeley']"
Arden,0,['Purdue University']
Jones,0,"['Tennessee State University', 'North Carolina State University']"
Arora,0,"['SB', 'Massachusetts Institute of Technology', 'PhD', 'UC Berkeley']"
Asprey,0,"['Vassar College', 'University of Iowa']"
Atanasoff,2,"['University of Florida', 'Iowa State University', 'University of Wisconsin–Madison']"
Atre,0,"['University of Poona', 'University of Heidelberg']"
Babbage,2,"['Peterhouse, Cambridge']"
Bachman,3,"['University of Pennsylvania', 'Michigan State University']"
Backhouse,0,"['Churchill College, Cambridge', 'Imperial College London']"
Backus,3,"['University of Virginia', 'University of Pittsburgh', 'Haverford College', 'Columbia University']"
Bacon,1,['U.C. Berkeley']
Bader,5,"['Lehigh University', 'University of Maryland, College Park']"
Bahl,4,"['University of Massachusetts, Amherst', 'Modern School, New Delhi']"
Barr,0,['North Carolina State University']
Bartik,4,"['Northwest Missouri State Teachers College', 'University of Pennsylvania']"
Barto,3,['University of Michigan']
Bauer,3,['Ludwig-Maximilians-Universität']
Bayer,2,['University of Illinois at Urbana–Champaign']
Bell,8,['MIT']
Bellovin,0,"['Columbia University', 'University of North Carolina at Chapel Hill']"
Berdichevsky,0,[]
Berners-Lee,5,"[""The Queen's College, Oxford""]"
Bernstein,0,"['University of California, Berkeley', 'New York University']"
Bernus,0,['Budapest Technical University']
Bhushan,0,"['Indian Institute of Technology Kanpur', 'Massachusetts Institute of Technology', 'MIT Sloan School of Management']"
Bjørner,4,['Technical University of Denmark']
Blaauw,0,['Delft University of Technology']
Black,1,['London South Bank University']
Blei,2,"['Brown University', 'University of California, Berkeley']"
Blum,0,['Brooklyn College']
Blum,3,"['Simmons College', 'Massachusetts Institute of Technology']"
Blum,4,"['Massachusetts Institute of Technology', 'BA', 'MA', 'PhD']"
Boehm,3,['Harvard University']
Böhm,0,['ETH Zürich']
Bollacker,0,[]
Bonwick,0,[]
Booch,2,"['U.S. Air Force Academy', 'B.S.', 'University of California, Santa Barbara', 'M.S.']"
Boole,17,['[3]']
Booth,0,['Jesus College']
Booth,0,[]
Borg,18,['New York University']
Bos,0,[]
Botvinnik,0,[]
Bowen,4,"['University College', 'Oxford']"
Bourne,3,"[""King's College London"", 'BSc', 'Trinity College, Cambridge', 'Diploma in Computer Science', 'Ph.D.']"
Bouwman,0,['VU University Amsterdam']
Boyer,0,"['Ph.D.', 'Mathematics']"
Brandenburg,1,['University of Erlangen-Nuremberg']
Brassard,3,[]
Breed,2,[]
Bresenham,0,['Winthrop University']
Brin,5,"['University of Maryland, College Park', 'BS', 'Stanford University', 'MS']"
Brown,0,['University of Pennsylvania']
Hansen,1,['Technical University of Denmark']
Brinkkemper,0,['University of Amsterdam']
Brooks,5,"['Duke University', 'Harvard University']"
Brooks,1,"['Stanford University', 'Flinders University']"
Burnett,0,[]
Butler,0,"['Trinity College, Dublin', 'Wolfson College', 'Oxford']"
Gil,3,[]
Camp,2,"['The College of William and Mary', 'Michigan State University', 'Kalamazoo College']"
Campbell-Kelly,0,['Sunderland Polytechnic']
Candlin,0,['University of Cambridge']
Canion,0,['University of Houston']
Cantrill,0,[]
Cardelli,2,"['University of Pisa', 'University of Edinburgh']"
Carmack,0,['University of Missouri–Kansas City']
Caspersen,8,"['Aarhus U.', 'Aarhus U.', '[11]', 'PhD', 'Aarhus U.']"
Catmull,4,['University of Utah']
Cerf,12,"['Stanford University', 'BS', 'University of California, Los Angeles', 'MS', 'PhD']"
Chaitin,0,[]
Cailliau,12,"['Ghent University', 'University of Michigan']"
Chaochen,3,[]
Chen,7,"['National Taiwan University', 'Harvard University']"
Chiariglione,8,['Polytechnic University of Turin']
Chou,0,"['Stanford University', '[1]', 'B.S.', 'M.S.']"
Church,0,"['Princeton University', 'BS', 'PhD']"
Ciaramella,0,[]
Clarke,1,['Cornell University']
Cocke,6,['Duke University']
Codd,3,"['Exeter College, Oxford', 'University of Michigan']"
Cohen,0,[]
Coldwater,0,[]
Colton,0,"['Durham University', 'University of Liverpool', 'University of Edinburgh']"
Colmerauer,0,[]
Comer,8,[]
Compton,0,[]
Conway,2,"['Cornell', 'PhD', 'Cornell']"
Cormack,0,[]
Cook,8,"['Harvard University', 'University of Michigan']"
Cooley,0,[]
Cooper,0,"['University of California, Los Angeles', 'BA']"
Corbató,2,"['California Institute of Technology', 'Massachusetts Institute of Technology']"
Cosper,0,[]
Cousot,8,['École Nationale Supérieure des Mines de Nancy']
Cox,4,"['University College London', 'Oxford University']"
Cray,0,['University of Minnesota']
Cristianini,3,"['University of Trieste', 'University of London', 'University of Bristol']"
Crowcroft,2,"['University of Cambridge', 'University College London']"
Croft,8,['Monash University']
Culler,5,"['University of California, Berkeley', 'University of California, Los Angeles']"
Curry,0,"['Harvard University', 'University of Göttingen']"
Dadda,0,['Politecnico di Milano']
Dahl,2,['University of Oslo']
Dahl,0,"['UC San Diego', 'University of Rochester']"
Dam,0,[]
Das,0,"['Georgia Tech', 'Indian Institute of Science', 'Jadavpur University']"
Daswani,0,"['Stanford University', 'Columbia University']"
Date,0,['University of Cambridge']
Davis,0,"[""Bachelor's degree"", 'computer engineering', ""master's degree"", 'electrical engineering', 'Arizona State University']"
Dean,6,"['University of Minnesota', 'University of Washington']"
Demaine,3,"['Dalhousie University', 'University of Waterloo']"
DeMarco,2,"['Cornell University', 'Columbia University', 'University of Paris']"
DeMillo,0,"['University of St. Thomas', 'Georgia Institute of Technology']"
Denning,2,"['University of Michigan', 'Purdue University']"
Denning,2,"['Massachusetts Institute of Technology', '[1]', 'Manhattan College']"
Dertouzos,0,[]
Dewdney,0,[]
Dewar,0,"['University of Chicago', 'B.S.', 'Ph.D.']"
Dham,0,"['Delhi College of Engineering', 'Delhi Technological University', 'Delhi University', 'University of Cincinnati']"
Dietz,0,['Eindhoven University of Technology']
Diffie,6,['Massachusetts Institute of Technology']
Dijkstra,5,"['Leiden University', 'University of Amsterdam']"
Dillon,0,"['University of California, Berkeley']"
Dix,0,[]
Dongarra,15,"['Chicago State University', 'BS', 'Illinois Institute of Technology', 'MS', 'University of New Mexico', 'PhD']"
Dorigo,0,[]
Dourish,7,['Computer Science']
Draper,6,"['Massachusetts Institute of Technology', 'Stanford University']"
Dumais,1,"['Indiana University', 'Bates College']"
Dunkels,0,"['Swedish Institute of Computer Science', 'B.S.', 'M.S.', 'Ph.D.']"
Dunn,11,"['Oberlin College', 'University of Pittsburgh']"
Dustdar,0,[]
Eades,0,[]
Easley,0,['Cleveland State University']
Ebbinkhuijsen,0,[]
Eckert,4,['University of Pennsylvania']
Edelman,7,"['MIT', 'Yale University']"
Eich,0,"['University of Illinois Urbana-Champaign', 'Santa Clara University']"
Emeagwali,0,"['George Washington University School of Engineering and Applied Science', 'Oregon State University']"
Emerson,2,"['Harvard', 'UT Austin']"
Engelbart,7,"['Oregon State University', 'University of California, Berkeley']"
Engelhardt,2,"['Stanford University', 'University of California, Berkeley']"
Eppstein,0,"['Stanford University', 'Columbia University']"
Yershov,0,['Moscow State University']
Estridge,0,['University of Florida']
Etzioni,2,"['Harvard University', 'Carnegie Mellon University']"
Evans,0,"['University College London', 'University of Reading']"
Evans,3,[]
Even,0,['Harvard University']
Fahlman,3,"['Massachusetts Institute of Technology', 'B.S.', 'M.S.', 'Ph.D.']"
Feigenbaum,4,['Carnegie Mellon University']
Felten,2,"['California Institute of Technology', 'BS', 'University of Washington', 'MS', 'PhD']"
Finin,3,['University of Illinois']
Finkel,0,['University of Chicago']
Firesmith,0,['Arizona State University']
Flake,0,[]
Flowers,0,['University of London']
Floyd,2,"['University of Chicago', 'B.A.']"
Floyd,1,"['University of California, Berkeley']"
Fogel,0,"['New York University', 'Rutgers University', 'University of California, Los Angeles']"
Foley,11,"['University of Michigan', 'Lehigh University']"
Forbus,0,"['Massachusetts Institute of Technology', 'BS', 'MS', 'PhD']"
Jr.,0,[]
Fortnow,7,"['Cornell University', 'Massachusetts Institute of Technology']"
Fayed,0,"['Menoufia University', 'King Saud University']"
Fowler,0,"['University College London', 'BSc', '[1]']"
France,2,"['University of the West Indies', 'Trinidad and Tobago', 'Massey University', 'New Zealand']"
Franke,9,[]
Fredkin,2,['California Institute of Technology']
Freund,2,"['The Hebrew University of Jerusalem', 'University of California, Santa Cruz']"
Friedman,0,"['University of Houston', '[1]']"
Fischer,8,"['University of British Columbia', 'University of Cambridge']"
Fu,53,"['University of California, San Diego']"
Fu,6,[]
Fukushima,1,['Kyoto University']
Fulkerson,5,"['Southern Illinois University', 'University of Wisconsin–Madison']"
Gabriel,2,"['Northeastern University', 'Massachusetts Institute of Technology', 'University of Illinois', 'Stanford University', 'Warren Wilson College']"
Galil,3,"['Tel Aviv University', 'BSc', 'MSc', 'Cornell University', 'PhD']"
Galler,0,"['University of Chicago', 'UCLA']"
García-Molina,3,"['Monterrey Institute of Technology and Higher Education', 'BS', 'Stanford University', 'MS', 'PhD']"
Garey,0,['University of Wisconsin–Madison']
Garis,0,[]
Gates,4,['Harvard University']
Gelernter,3,"['Yale University', 'BA', 'State University of New York at Stony Brook', 'PhD']"
Gelobter,4,['Brown University']
Geschke,3,"['Xavier University', 'AB', 'MS', 'Carnegie Mellon University', 'PhD']"
Ghahramani,3,"['University of Pennsylvania', 'Massachusetts Institute of Technology']"
Ghemawat,1,"['Cornell University', 'MIT']"
Gibbons,0,"['University of Edinburgh', 'B.Sc.', 'University of Oxford', 'D.Phil.']"
Gilbert,1,"['Miami University', 'University of Cincinnati']"
Giles,7,"['Rhodes College', 'University of Tennessee', 'University of Michigan', 'University of Arizona']"
Ginsburg,0,"['City College of New York', 'University of Michigan']"
Glass,0,[]
Gödel,3,"['University of Vienna', 'PhD']"
Goel,3,['Ohio State University']
Goguen,0,"['Harvard University', 'University of California, Berkeley']"
Gold,0,[]
Goldberg,0,"['University of Michigan', 'University of Chicago']"
Goldberg,2,"['Massachusetts Institute of Technology', 'University of California, Berkeley']"
Goldberg,0,"['University of California, Berkeley', 'University of Waterloo']"
Goldsmith,0,[]
Goldreich,2,"['Technion', 'Weizmann Institute']"
Goldwasser,11,"['Carnegie Mellon University', 'University of California, Berkeley']"
Golub,0,['University of Illinois at Urbana-Champaign']
Golumbic,0,[]
Gonnet,1,['University of Waterloo']
Goodfellow,0,"['Stanford University', 'Université de Montréal']"
Gosling,7,"['University of Calgary', 'BSc', 'Carnegie Mellon University', 'MA', 'PhD']"
Graham,0,"['Cornell University', 'Harvard University']"
Graham,0,[]
Graham,5,"['Harvard', 'Stanford']"
Gray,2,"['University of California, Berkeley']"
Greibach,0,"['Radcliffe College', 'Harvard University']"
Gries,4,"['B.S.', 'Queens College', 'M.S.', 'University of Illinois at Urbana-Champaign', 'Dr. rer. nat.', 'Technical University of Munich']"
Griswold,0,[]
Gropp,2,['Stanford University']
Gruber,0,['Loyola University New Orleans']
Guberman,0,[]
Guha,16,"['Indian Institute of Technology Madras', 'University of California, Berkeley', 'Stanford University']"
Gunther,9,"['La Trobe University', 'University of Southampton']"
Gutknecht,0,"['Ph.D.', 'ETH Zurich']"
Guy,0,[]
Griesemer,0,[]
Habermann,0,"['Free University of Amsterdam', 'Eindhoven University of Technology']"
Hahn,0,[]
Hall,1,"['University of Washington', 'Rutgers University', 'Eastern Nazarene College', 'Boston University', 'Massachusetts Institute of Technology', 'Harvard University']"
Hall,2,"['University of Southampton', 'City University London', '[5]']"
Halpern,3,['University of Toronto']
Hamilton,1,"['University of Michigan', 'Earlham College', 'BA']"
Hamming,4,"['University of Chicago', 'University of Nebraska', 'University of Illinois at Urbana–Champaign']"
Han,0,"['University of Wisconsin - Madison', 'PhD', 'University of Science and Technology of China', 'BSc.']"
Harary,0,"['Brooklyn College', 'University of California, Berkeley']"
Harris,0,"['School of Oriental and African Studies', 'American University in Cairo', ""Quai d'Orsay""]"
Hartmanis,2,"['University of Marburg', 'University of Kansas City', 'Caltech']"
Håstad,4,"['Massachusetts Institute of Technology', 'Uppsala University', 'Stockholm University']"
Hatton,2,"[""King's College, Cambridge""]"
Hawryszkiewycz,0,[]
Jifeng,0,['Fudan University']
Hehner,0,"['Carleton University', 'B.Sc.', 'University of Toronto', 'M.Sc.', 'Ph.D.']"
Hellman,9,"['New York University', 'Stanford University']"
Heiser,6,"['University of Freiburg', 'Brock University', 'ETH Zurich']"
Hendler,0,"['Yale University', 'Southern Methodist University', 'Brown University']"
Hennessy,9,"['Villanova University', 'Stony Brook University']"
Herbert,0,['Leeds University']
Hewitt,0,['MIT']
Hightower,0,[]
Hillis,2,['Massachusetts Institute of Technology']
Hinton,9,"['University of Cambridge', 'BA', 'University of Edinburgh']"
Hirschberg,10,"['University of Pennsylvania', 'University of Michigan']"
Ho,7,['Chinese University of Hong Kong']
Hoare,7,"['University of Oxford', 'Moscow State University']"
Hodes,0,"['B.S.', 'Polytechnic Institute of Brooklyn', 'Ph.D.', 'MIT']"
Holberton,4,['University of Pennsylvania']
Holland,3,['University of Michigan']
Hollerith,3,"['City College of New York', 'Columbia University']"
Holzmann,2,['Delft University of Technology']
Hopcroft,8,"['Seattle University', 'Stanford University']"
Hopper,9,"['Vassar College', 'BA', 'Yale University', 'MS', 'PhD']"
Horvitz,0,['Stanford University']
Householder,0,['University of Chicago']
Hudak,6,"['Vanderbilt University', 'B.S.', 'Massachusetts Institute of Technology', 'M.S.', 'University of Utah', 'Ph.D.']"
Huffman,2,"['Ohio State University', 'Massachusetts Institute of Technology']"
Hughes,3,"['University of Oxford', 'PhD']"
Hui,1,"['University of Alberta', 'University of Toronto']"
Humphrey,1,['United States Navy']
Hutchins,0,[]
Ichbiah,6,[]
Ierusalimschy,0,['Pontifical Catholic University of Rio de Janeiro']
Ingalls,2,"['Harvard University', 'B.A.', 'Stanford University', 'M.S.']"
Irwin,3,"['University of Illinois at Urbana-Champaign', 'Memphis State University']"
Iverson,4,"[""Queen's University"", 'Harvard University']"
Jacobson,0,"['Chalmers Institute of Technology', 'Gothenburg', 'Royal Institute of Technology', 'Stockholm']"
Jain,10,"['Indian Institute of Technology, Kanpur', 'Ohio State University']"
Jain,0,"['Indian Institute of Technology, Kharagpur', 'Visvesvaraya National Institute of Technology Nagpur']"
James,0,[]
Johnson,2,"['Amherst College', 'MIT']"
Johnson,0,"['Columbia University', 'Haverford College']"
Jones,0,['University of Oxford']
Jordan,5,"['University of California, San Diego']"
Joseph,2,"['Wilson College, Mumbai', 'University of Bombay', 'Welsh College of Advanced Technology', 'University of Cambridge']"
Joshi,12,"['College of Engineering, Pune', 'Indian Institute of Science', 'University of Pennsylvania']"
Joy,4,"['University of Michigan', 'University of California, Berkeley']"
Jurafsky,2,"['University of California at Berkeley', '[1]']"
Kahan,4,['University of Toronto']
Kahn,12,"['City College of New York', 'Princeton University']"
Kak,0,"['University of Madras', 'Indian Institute of Technology, Delhi']"
Kamp,0,[]
Karger,1,"['Harvard University', 'Stanford University']"
Karp,10,['Harvard University']
Karmarkar,11,"['IIT Bombay', 'Caltech', 'University of California, Berkeley']"
Karpinski,0,[]
Kaehler,0,"['Stanford University', 'B.S.', 'Carnegie Mellon University', 'MSc']"
Kay,3,"['University of Colorado at Boulder', 'BS', 'University of Utah College of Engineering', 'MS', 'PhD']"
Kayal,8,['IIT Kanpur']
Kellis,3,['Massachusetts Institute of Technology']
Kemeny,2,['Princeton University']
Kennedy,0,"['Rice University', 'New York University']"
Kernighan,0,"['University of Toronto', 'BASc', 'Princeton University', 'PhD']"
Kesselman,0,[]
Kiczales,0,['Massachusetts Institute of Technology']
Kirstein,3,"['University of Cambridge', 'Stanford University']"
Kleene,2,"['Amherst College', 'Princeton University']"
Klein,4,"['Cornell University', 'University of Oxford', 'Stanford University']"
Kleinrock,5,"['City College of New York', 'MIT']"
Knuth,14,"['Case Institute of Technology', 'BS', 'MS', 'California Institute of Technology', 'PhD']"
Koenig,0,['Columbia University']
Koller,5,"['Hebrew University of Jerusalem', 'Stanford University']"
Kölling,3,"['University of Bremen', 'University of Sydney']"
Kolmogorov,7,"['Moscow State University', 'Ph.D.']"
Kolodner,2,"['Brandeis University', 'Yale University']"
Korn,0,[]
Koster,0,['University of Amsterdam']
Kowalski,2,"['University of Chicago', 'University of Bridgeport', 'BA', 'Stanford University', 'MSc', 'University of Warsaw', 'University of Edinburgh', 'PhD']"
Koza,0,[]
Krogstie,0,[]
Kruskal,0,"['University of Chicago', 'Princeton University']"
Kruusmaa,4,"['Tallinn University of Technology', 'Chalmers University of Technology']"
Kurtz,2,"['Princeton University', 'Knox College', 'mathematics']"
Ladner,5,"[""St. Mary's College of California"", 'University of California, Berkeley']"
Lam,9,['Carnegie Mellon University']
